Company,Size,CEO,CEO email,Site,LI,Industry,Industry2,Address,City,State,Zip,Added,,,
Tilt 365,50-200,Pam Boney,,www.tilt365.com,https://www.linkedin.com/company/tilt-inc.,HRIS,SaaS,P.O. Box 31743,Raleigh,NC,27622,2016,,,
TiO Home Automation,12,Sanjay Patel,,https://www.tiohome.com/,https://www.linkedin.com/company/10425352/,,,,,,,2018,,,
Undercover Colors,10-50,Tyler Confrey-Maloney,,www.undercovercolors.com,https://www.linkedin.com/company/undercover-colors,Misc,Polish,,Raleigh,NC,27608,2016,,,
Valencell,50-100,Michael Dering,,www.valencell.com,https://www.linkedin.com/company/valencell,IoT,devTech,4601 Six Forks Rd.,Raleigh,NC,27609,2016,,,
Validic,50-100,Ryan Bckland,,www.validic.com,https://www.linkedin.com/company/validic,IoT,devTech,300 W Morgan St.,Durham,NC,27701,2016,,,
Vertical IQ,10-50,Bobby Martin,,www.verticalIQ.com,https://www.linkedin.com/company/vertical-iq,FinTech,SaaS,601 St. Mary's St.,Raleigh,NC,27605,2016,,,
Virtue Labs,17,Melisse Shaban,,virtuelabs.com,,,,19 W. Hargett St.,Raleigh,nc,27608,2018,,,
Vital Plan,20-50,,,,,,,,,,,2017,,,
Wastezero,38,Mark Dancy,,wastezero.com,https://www.linkedin.com/company/2563942/,,,,,,,2018,,,
Wiser Systems,10-20,Elaine Rideout,,http://www.wisersystems.com,https://www.linkedin.com/company/wiser-systems-inc./,,,,,,,2019,,,
Written Word Media,10-50,Ricci Wolman,,www.writtenwordmedia.com,https://www.linkedin.com/company/written-word-media,MarTech,self publishing,201 W Main St,Durham,NC,27701,2016,,,
Zaloni,50-100,Bijoy Bora,,www.zaloni.com,https://www.linkedin.com/company/zaloni,SaaS,Big Data,633 Davis Dr.,Durham,NC,27709,2016,,,
